code,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
TLD62,47.43,0.4728123487333943,0.10030395136778116,,0.547,0.855,0.136,0.5464798840124327,0.7112,0.8159999999999998,11323.32448164393,403.73948777062606,3315.8562249549536
TLD63,47.88,0.4108300495741706,0.10308908045977011,0.082,0.505,0.7840000000000001,0.22200000000000011,0.5604542802435757,0.7392000000000001,0.8430000000000001,12336.568651096293,553.7925355200518,2357.3450839031534
TLD71,38.53,0.38843143926505613,0.11746641074856046,0.16063646093471282,0.3751230824117017,0.7527845165893685,0.46998191342747264,0.5903389130856002,0.9790995924048115,0.9538614336993244,8785.693195541126,397.77027845142214,1990.4755470689026
TLD72,37.48,0.16911584017299847,0.14019253910950663,0.12200000000000001,0.455,0.7390000000000001,0.2720000000000001,0.6658196688768016,0.9999000000000002,0.9079999999999999,10960.486363917178,432.3275497152428,1448.6212900908158
TLD73,36.2,0.13111668757841907,0.1162528216704289,0.086,0.40299999999999997,0.805,0.295,0.5655272418610409,0.9119999999999999,0.777,7951.513428140751,387.62318424401553,976.7904694334395
TLD74,36.01,0.2460786834661867,0.11299435028248588,0.074,0.482,0.76,0.326,0.5925775430041988,0.9398,0.958,7087.176777365513,299.9365874448375,2548.4838495739614
TLE11,34.02,0.26987951807228916,0.12276045122760451,0.114,0.33,0.748,0.33999999999999997,0.6188819674783593,1.0,0.995,6877.985498268717,406.16897849593965,1304.4403314573844
TLE12,40.77,,0.09335863377609108,0.057,0.41700000000000004,0.7929999999999999,0.35299999999999987,0.5492418292066412,0.7798999999999999,0.897,10368.785618081398,233.28699544240484,989.4256150244339
TLE13,40.57,0.4392795415264259,0.10376492194674013,0.10911468812877263,0.31417002012072437,0.772040241448692,0.3440793276020334,0.6053187667086858,0.8135179741051028,0.9210270875660942,15456.951904974712,544.7001946266938,1151.2802232305157
TLE21,43.52,0.18116176312102597,0.09421265141318977,0.062,0.5379999999999999,0.814,0.23199999999999998,0.659154657123513,0.9494,0.872,27322.243461377064,281.58573966381533,1707.6193581331283
TLE22,36.36,0.18232068827174253,0.09147393855712806,0.054,0.42799999999999994,0.8059999999999998,0.30699999999999966,0.556856746809426,0.5102000000000001,0.742,12105.271684364243,435.3684378754082,2136.323569327858
TLE32,36.08,0.27057526768843165,0.10890302066772654,0.09300000000000001,0.457,0.753,0.33999999999999997,0.6752702127511112,0.7712000000000001,0.93,9163.175628436898,371.15229048046393,1962.9278971764106
TLE33,34.03,,0.11744738628649015,0.127,0.334,0.729,0.4009999999999999,0.6282979605472351,0.8434999999999999,0.8370000000000002,,,
TLE34,33.03,0.17711381487756045,0.10615199034981906,0.163,0.356,0.713,0.35200000000000004,0.5877689485425617,0.9290999999999999,0.945,,,
TLE35,29.81,0.13380877553487247,0.13875386654882899,0.232,0.299,0.7690000000000001,0.3430000000000002,0.5875687512731718,0.8534999999999999,0.9159999999999999,,,
TLE41,33.46,0.2633069926942001,0.12486602357984995,0.14900000000000002,0.375,0.7509999999999999,0.24499999999999983,0.5890816395748616,0.9419,0.914,6566.016807654302,381.27334187008955,2041.055411896095
TLE42,41.47,0.20977544948249116,0.11749266635788173,0.085,0.539,0.769,0.18600000000000008,0.6186302843095056,0.9230999999999999,0.9509999999999998,8446.081401075277,317.5325487027049,1945.0929437147
TLE44,33.33,0.2367237249518023,0.11076982146285276,0.07409764474975467,0.42318007850834155,0.7761526005888125,0.30632763847514577,0.6263368819610061,0.7289921954503671,0.8591735218508998,5859.229603105332,227.25284682339213,1286.870995231823
TLE45,36.15,0.13032822757111598,0.11524334251606978,0.11700000000000002,0.288,0.776,0.205,0.5801772318442394,0.9481999999999999,0.941,8340.16561208144,333.40481883174965,1581.01355292868
TLF11,38.02,1.5570654849827672,0.11842105263157894,0.106,0.496,0.828,0.24099999999999994,0.6090970502139158,0.9996,0.9709999999999999,18029.59077534958,748.0665386338567,12443.40574261213
TLF12,37.75,0.13594085380395898,0.0970556161395856,,0.37464367816091954,0.7380229885057471,,0.5943698825265502,0.8892784065332138,0.8632699151326308,7874.84896808072,322.5090186601919,1197.6665388242147
TLF13,37.19,0.29052958183484945,0.09173246632605667,,0.4755602814198913,0.8025260633194755,0.30268040051756995,0.6028509625950932,0.7642061533580633,0.7811334242742759,9206.116039996421,374.5857249942163,2579.7032964507157
TLF14,33.88,0.22240340304856435,0.12494016275730015,0.131,0.39,0.703,0.21899999999999994,0.6805840692914151,1.0,0.9579999999999999,7235.550671362861,289.9479288587701,1675.2598987878432
TLF15,31.06,0.10915113233708211,0.10387271089762834,,0.37443305439330543,0.7453308926080893,0.3776673042247235,0.5866170319387202,0.7761165418476824,0.8490802057895114,8305.107417897674,411.1086188344597,1687.8517302824152
TLF16,39.52,0.08791779115632137,0.10042323970757984,,0.5165291936978684,0.8215301204819278,0.15027271783101126,0.6068804153109348,0.9158092327378314,0.8933304664377886,8355.49153142546,236.34142580143177,1144.2545699641348
TLF21,35.47,0.14336917562724014,0.12991573033707865,0.18000000000000002,0.355,0.719,0.256,0.6219390173258202,1.0,0.974,8605.552961778189,374.4460130255343,1967.2131147540983
TLF22,36.38,0.17917385111327686,0.09970446414683466,,0.4253689017598574,0.835418801514814,,0.5794815260411691,0.7329744765010736,0.8168527251773849,9320.957172376771,389.9816158370063,1393.2351817725262
TLF24,38.21,0.2644258345761156,0.11505083064716093,0.084,0.445,0.82,0.19699999999999998,0.5735019534982237,0.8121999999999999,0.933,9700.13825184818,314.4083538902999,3341.577981195098
TLF25,31.57,0.23601046698872785,0.13942450311480273,0.108,0.28,0.815,0.326,0.578818503713406,0.6458,0.9390000000000001,9471.297576517918,300.1979408279252,989.2754001029156
TLF30,34.98,0.11378496185978933,0.0932802028618004,,0.32682567567567566,0.7682346846846846,,0.5671888892295429,0.7136327829727891,0.745295196468014,13598.41074186339,301.0280043186016,1050.8883188637378
TLG11,32.93,0.12967227635075287,0.09505494505494505,0.072,0.436,0.8160000000000001,0.228,0.5824424666912423,0.5391,0.815,7910.686207710878,208.14409160660588,1881.872804966754
TLG12,38.4,0.20269326683291772,0.09302742426958237,,0.5019711428571428,0.8283362857142857,,0.5698608725384046,0.7822311710769726,0.8253921305703685,7375.2697604425075,276.4934904762194,1808.328979516048
TLG13,42.34,0.39844250053339025,0.0988177166049056,,0.488406195207481,0.8248877849210988,,0.5538803184730902,0.8768563656131478,0.8332623268300681,14108.70302483167,554.050944611924,6736.824429238313
